name,album,artist,release_date,length,mode,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
愛にできることはまだあるかい - Movie edit,天気の子,RADWIMPS,2019-07-19,150653,1,39,0.638,0.822,0.291,0.0,0.318,-7.144,0.0442,141.929,4,0.378
グランドエスケープ - Movie edit,天気の子,RADWIMPS,2019-07-19,188066,1,45,0.461,0.486,0.423,0.00118,0.137,-9.161,0.0369,146.061,4,0.546
Anti Anti overture,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,80386,1,22,0.241,0.971,0.191,0.953,0.101,-19.511,0.0414,128.49,4,0.0538
tazuna,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,203293,1,30,0.567,0.682,0.405,4.17e-06,0.161,-6.881,0.0259,127.911,3,0.43
NEVER EVER ENDER,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,331200,1,32,0.481,0.0146,0.949,8.54e-06,0.183,-4.577,0.0603,135.078,4,0.533
IKIJIBIKI,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,229733,1,51,0.382,4.46e-05,0.991,0.0,0.232,-2.623,0.0924,175.992,4,0.513
カタルシスト,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,242853,0,39,0.669,0.0045,0.69,0.0,0.0782,-4.52,0.13,93.015,4,0.667
洗脳 - Anti Anti Mix,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,330133,0,38,0.6,0.00139,0.835,0.0,0.107,-3.22,0.0676,132.028,4,0.732
そっけない,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,389466,1,61,0.626,0.594,0.399,0.0,0.101,-7.304,0.0363,109.916,4,0.184
PAPARAZZI~*この物語はフィクションです~,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,326200,0,36,0.698,0.217,0.751,3.72e-05,0.389,-6.097,0.18,130.085,4,0.712
HOCUSPOCUS,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,250813,0,27,0.511,0.00031,0.986,0.0,0.0739,-3.582,0.111,119.039,4,0.3
万歳千唱,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,262773,1,47,0.489,0.00251,0.914,0.0,0.165,-3.265,0.0654,136.992,4,0.328
I I U,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,182093,1,34,0.43,0.839,0.152,0.0,0.175,-13.997,0.0728,71.759,3,0.384
泣き出しそうだよ,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,279266,1,44,0.7,0.765,0.379,0.0,0.274,-7.219,0.0391,124.003,4,0.261
TIE TONGUE,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,261666,0,29,0.473,0.0336,0.841,5.02e-06,0.159,-4.511,0.0548,176.091,4,0.923
Mountain Top,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,198013,1,24,0.6,0.777,0.448,0.0,0.112,-7.615,0.0323,125.846,3,0.215
サイハテアイニ,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,221160,1,47,0.247,0.000692,0.976,0.0,0.344,-2.598,0.204,193.843,4,0.329
正解 - 18FES ver.,ANTI ANTI GENERATION,RADWIMPS,2018-12-12,357426,1,59,0.465,0.847,0.384,0.0,0.196,-7.265,0.0269,82.351,4,0.35
Lights go out,人間開花,RADWIMPS,2016-11-23,178746,1,26,0.473,0.000592,0.909,1.67e-05,0.853,-4.81,0.0546,147.112,4,0.289
光,人間開花,RADWIMPS,2016-11-23,240453,1,40,0.262,8.52e-05,0.98,0.0,0.11,-2.658,0.0971,181.914,4,0.28
AADAAKOODAA,人間開花,RADWIMPS,2016-11-23,185640,1,27,0.566,0.00109,0.895,3.59e-05,0.169,-4.183,0.235,157.988,4,0.798
トアルハルノヒ,人間開花,RADWIMPS,2016-11-23,337333,1,32,0.421,0.00133,0.92,9.97e-06,0.417,-3.747,0.0906,174.964,4,0.252
前前前世,人間開花,RADWIMPS,2016-11-23,275066,1,45,0.299,0.00031,0.877,0.0,0.078,-2.969,0.138,189.911,4,0.534
'I' Novel,人間開花,RADWIMPS,2016-11-23,353786,1,34,0.571,0.0146,0.763,4.5e-06,0.414,-4.513,0.0432,91.982,4,0.799
アメノヒニキク,人間開花,RADWIMPS,2016-11-23,338133,1,27,0.634,0.0104,0.724,8e-05,0.54,-5.409,0.0405,125.976,4,0.358
週刊少年ジャンプ,人間開花,RADWIMPS,2016-11-23,351920,1,35,0.615,0.847,0.265,0.0,0.134,-8.94,0.0468,137.1,4,0.389
棒人間,人間開花,RADWIMPS,2016-11-23,283653,1,50,0.596,0.0615,0.872,0.0,0.137,-2.32,0.0628,115.544,3,0.718
記号として,人間開花,RADWIMPS,2016-11-23,313800,0,28,0.632,0.00116,0.988,0.0,0.0703,-2.095,0.198,131.924,4,0.35
ヒトボシ,人間開花,RADWIMPS,2016-11-23,259093,1,28,0.379,0.00123,0.959,0.0,0.545,-2.355,0.0486,168.98,4,0.815
スパークル,人間開花,RADWIMPS,2016-11-23,408200,1,52,0.433,0.733,0.503,0.0,0.12,-5.919,0.0361,126.664,4,0.228
Bring me the morning,人間開花,RADWIMPS,2016-11-23,54800,1,21,0.567,0.633,0.348,0.832,0.134,-10.82,0.0693,134.047,4,0.492
O&O,人間開花,RADWIMPS,2016-11-23,273880,1,41,0.663,0.301,0.53,6.85e-05,0.0949,-5.553,0.0446,164.034,4,0.721
告白,人間開花,RADWIMPS,2016-11-23,401706,1,46,0.532,0.769,0.379,0.0,0.207,-6.569,0.0301,147.609,4,0.411
いえない,×と○と罪と,RADWIMPS,2013-12-11,392186,1,32,0.453,0.00182,0.799,1.84e-06,0.0956,-3.161,0.0331,76.012,4,0.55
実況中継,×と○と罪と,RADWIMPS,2013-12-11,305626,1,39,0.559,0.0514,0.989,0.00554,0.111,-1.494,0.128,123.878,4,0.866
アイアンバイブル,×と○と罪と,RADWIMPS,2013-12-11,335093,1,37,0.708,0.0788,0.863,0.0,0.0753,-2.134,0.0453,115.975,4,0.921
リユニオン,×と○と罪と,RADWIMPS,2013-12-11,319306,1,39,0.604,0.49,0.799,7.87e-05,0.284,-2.793,0.0363,84.008,4,0.891
DARMA GRAND PRIX,×と○と罪と,RADWIMPS,2013-12-11,249346,0,44,0.542,0.0032,0.991,0.0,0.592,-1.655,0.208,130.002,4,0.404
五月の蝿,×と○と罪と,RADWIMPS,2013-12-11,302946,1,35,0.243,0.000751,0.967,0.0,0.186,-0.67,0.105,127.429,3,0.393
最後の晩餐,×と○と罪と,RADWIMPS,2013-12-11,310040,1,33,0.626,0.0268,0.815,2.11e-06,0.0756,-3.042,0.0292,99.005,4,0.723
夕霧,×と○と罪と,RADWIMPS,2013-12-11,100506,1,21,0.681,0.987,0.286,0.88,0.135,-10.988,0.0559,133.906,4,0.617
ブレス,×と○と罪と,RADWIMPS,2013-12-11,382320,1,33,0.608,0.845,0.455,8.36e-06,0.123,-4.426,0.0259,143.893,4,0.538
パーフェクトベイビー,×と○と罪と,RADWIMPS,2013-12-11,236613,1,34,0.553,0.22,0.852,0.0,0.0533,-2.065,0.0595,186.125,4,0.939
ドリーマーズ・ハイ,×と○と罪と,RADWIMPS,2013-12-11,357506,1,33,0.59,0.0261,0.981,0.000856,0.0219,-2.96,0.0708,132.051,4,0.757
会心の一撃,×と○と罪と,RADWIMPS,2013-12-11,276506,1,49,0.468,0.00116,0.993,0.000745,0.329,-1.018,0.153,95.965,4,0.375
Tummy,×と○と罪と,RADWIMPS,2013-12-11,287240,1,45,0.701,0.103,0.5,0.0,0.0247,-5.767,0.0822,79.922,4,0.762
ラストバージン,×と○と罪と,RADWIMPS,2013-12-11,313893,1,37,0.507,0.0495,0.667,1.41e-05,0.189,-3.392,0.028,143.902,4,0.328
針と棘,×と○と罪と,RADWIMPS,2013-12-11,440026,1,28,0.367,0.576,0.391,0.0,0.331,-5.2,0.0339,122.387,4,0.326
DADA - dadadada Ver.,絶体絶命,RADWIMPS,2011-03-09,229240,0,32,0.569,0.000405,0.976,0.079,0.322,-3.934,0.0919,117.022,4,0.681
透明人間18号,絶体絶命,RADWIMPS,2011-03-09,262000,1,40,0.492,0.0142,0.768,3.35e-06,0.229,-4.887,0.0353,141.971,4,0.458
君と羊と青,絶体絶命,RADWIMPS,2011-03-09,158186,1,55,0.412,0.00011,0.964,0.00052,0.157,-2.274,0.101,164.042,4,0.778
だいだらぼっち,絶体絶命,RADWIMPS,2011-03-09,359586,1,27,0.376,0.0737,0.27,0.0,0.082,-9.416,0.0294,152.067,3,0.349
学芸会,絶体絶命,RADWIMPS,2011-03-09,272040,0,28,0.293,0.000693,0.924,0.000337,0.118,-3.0,0.0651,95.357,4,0.712
狭心症,絶体絶命,RADWIMPS,2011-03-09,407240,0,30,0.647,0.000891,0.412,0.0,0.264,-4.519,0.0448,135.9,4,0.484
グラウンドゼロ,絶体絶命,RADWIMPS,2011-03-09,265800,1,29,0.359,0.0177,0.873,0.0,0.0349,-4.358,0.24,177.818,4,0.365
G行為,絶体絶命,RADWIMPS,2011-03-09,241586,0,44,0.858,0.0334,0.773,2.2e-05,0.0945,-5.379,0.152,118.02,4,0.826
DUGOUT,絶体絶命,RADWIMPS,2011-03-09,258186,1,30,0.488,3.31e-05,0.969,1.38e-06,0.14,-3.857,0.118,128.008,4,0.693
ものもらい,絶体絶命,RADWIMPS,2011-03-09,315866,1,31,0.546,0.0281,0.684,0.000442,0.111,-6.222,0.0363,127.968,4,0.503
携帯電話 - Cat Ver.,絶体絶命,RADWIMPS,2011-03-09,264360,1,28,0.58,0.00978,0.868,7.86e-05,0.148,-5.288,0.0264,105.009,4,0.681
億万笑者,絶体絶命,RADWIMPS,2011-03-09,270080,1,40,0.36,0.00147,0.917,0.000614,0.331,-4.474,0.0789,176.07,4,0.442
救世主,絶体絶命,RADWIMPS,2011-03-09,380746,1,28,0.316,0.0114,0.375,1.11e-05,0.075,-7.923,0.0392,119.624,4,0.192
タユタ,アルトコロニーの定理,RADWIMPS,2009-03-11,183693,0,30,0.607,0.0816,0.468,9.84e-06,0.107,-6.227,0.0264,110.002,4,0.323
おしゃかしゃま,アルトコロニーの定理,RADWIMPS,2009-03-11,226613,0,47,0.596,0.0197,0.981,0.00042,0.346,-2.36,0.167,129.117,4,0.69
バグパイプ,アルトコロニーの定理,RADWIMPS,2009-03-11,163773,1,29,0.5,2.96e-05,0.982,0.000196,0.215,-2.036,0.0653,104.962,4,0.691
謎謎,アルトコロニーの定理,RADWIMPS,2009-03-11,344480,1,40,0.613,0.00406,0.852,4.54e-06,0.0734,-4.282,0.0316,131.981,4,0.611
七ノ歌,アルトコロニーの定理,RADWIMPS,2009-03-11,388560,1,41,0.506,0.0166,0.733,1.72e-05,0.352,-4.046,0.0369,139.984,4,0.336
One man live,アルトコロニーの定理,RADWIMPS,2009-03-11,280173,1,34,0.391,0.00111,0.968,0.00299,0.345,-2.264,0.0922,188.142,4,0.543
ソクラティックラブ,アルトコロニーの定理,RADWIMPS,2009-03-11,229426,1,31,0.422,0.000236,0.925,0.000256,0.0345,-2.991,0.089,155.984,4,0.58
メルヘンとグレーテル,アルトコロニーの定理,RADWIMPS,2009-03-11,285160,1,37,0.651,0.137,0.408,2.65e-06,0.122,-8.217,0.028,137.899,4,0.505
雨音子,アルトコロニーの定理,RADWIMPS,2009-03-11,228946,1,32,0.618,0.0133,0.726,0.0,0.109,-4.838,0.0358,123.041,4,0.667
オーダーメイド,アルトコロニーの定理,RADWIMPS,2009-03-11,353653,1,35,0.548,0.0208,0.633,0.00105,0.444,-7.112,0.0262,104.022,4,0.355
魔法鏡,アルトコロニーの定理,RADWIMPS,2009-03-11,196653,1,31,0.506,0.000592,0.893,0.0,0.238,-3.443,0.0442,106.982,4,0.801
叫べ,アルトコロニーの定理,RADWIMPS,2009-03-11,291013,1,40,0.541,0.0004,0.883,0.000143,0.36,-2.727,0.0426,122.998,4,0.684
37458,アルトコロニーの定理,RADWIMPS,2009-03-11,378800,1,32,0.623,0.182,0.572,5.81e-05,0.075,-6.114,0.0289,123.948,4,0.159
ふたりごと - 一生に一度のワープVer.,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,288320,1,42,0.582,0.137,0.852,0.0,0.17,-4.731,0.037,102.083,4,0.738
ギミギミック,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,159200,1,37,0.579,0.00113,0.987,3.17e-06,0.0227,-2.602,0.0806,125.043,4,0.62
05410-(ん),RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,190453,1,58,0.599,0.000138,0.961,4.49e-06,0.122,-2.843,0.0464,130.049,4,0.794
me me she,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,281493,1,56,0.617,0.0204,0.592,1.05e-06,0.147,-4.816,0.0289,117.97,4,0.374
有心論,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,250840,1,47,0.538,0.0149,0.813,0.0,0.0875,-4.949,0.111,145.132,4,0.568
遠恋,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,281600,0,43,0.625,0.0025,0.733,0.0,0.115,-3.758,0.046,131.994,4,0.927
セツナレンサ,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,202466,1,37,0.485,0.00299,0.969,0.0,0.118,-3.644,0.079,149.944,4,0.44
いいんですか?,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,248133,1,52,0.486,0.00386,0.846,0.0,0.0836,-3.975,0.0415,174.917,4,0.881
指切りげんまん,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,244800,1,41,0.694,0.184,0.599,0.00265,0.292,-4.556,0.0371,115.999,4,0.897
傘拍子,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,242600,1,33,0.47,0.0754,0.627,4.39e-05,0.257,-5.995,0.028,135.971,3,0.42
ます。,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,135800,1,43,0.409,0.000192,0.951,0.0,0.308,-2.76,0.127,173.832,4,0.697
夢番地,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,296733,1,43,0.566,0.0301,0.713,0.0,0.245,-4.104,0.0319,131.914,4,0.51
バグッバイ,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,398480,1,32,0.573,0.219,0.334,0.0,0.357,-4.091,0.0388,123.983,4,0.159
泣きたい夜ってこんな感じ,RADWIMPS 4 ~おかずのごはん~,RADWIMPS,2006-12-06,130253,1,31,0.557,0.0557,0.498,0.0,0.134,-8.969,0.457,174.971,4,0.605
